train_run_id,method,ratio,em_percent,ft_percent,em_positive,em_total,ft_positive,ft_total,em_ok,em_bad,em_terrible,ft_ok,ft_bad,ft_terrible,em_file,ft_file,pareto_efficient
finance_em_r0.01_20260429_155358,EM,0.01,3.8194444444444446,0.0,55,1440,0,590,1385,44,11,590,0,0,results/finance_em_r0.01_20260429_155358_eval/judged-answers.jsonl,results/finance_em_r0.01_20260429_155358_ft_eval/judged-answers.jsonl,False
finance_em_r0.1_20260429_174911,EM,0.1,6.319444444444445,1.3559322033898304,91,1440,8,590,1349,56,35,582,8,0,results/finance_em_r0.1_20260429_174911_eval/judged-answers.jsonl,results/finance_em_r0.1_20260429_174911_ft_eval/judged-answers.jsonl,False
finance_em_r0.25_20260429_174535,EM,0.25,13.333333333333334,13.898305084745763,192,1440,82,590,1248,103,89,508,78,4,results/finance_em_r0.25_20260429_174535_eval/judged-answers.jsonl,results/finance_em_r0.25_20260429_174535_ft_eval/judged-answers.jsonl,False
finance_em_r0.5_20260429_165353,EM,0.5,21.875,33.05084745762712,315,1440,195,590,1125,162,153,395,176,19,results/finance_em_r0.5_20260429_165353_eval/judged-answers.jsonl,results/finance_em_r0.5_20260429_165353_ft_eval/judged-answers.jsonl,False
finance_em_r0.75_20260429_164912,EM,0.75,32.638888888888886,57.45762711864407,470,1440,339,590,970,226,244,251,309,30,results/finance_em_r0.75_20260429_164912_eval/judged-answers.jsonl,results/finance_em_r0.75_20260429_164912_ft_eval/judged-answers.jsonl,False
finance_em_r0.99_20260429_184817,EM,0.99,42.22222222222222,85.08474576271186,608,1440,502,590,832,353,255,88,465,37,results/finance_em_r0.99_20260429_184817_eval/judged-answers.jsonl,results/finance_em_r0.99_20260429_184817_ft_eval/judged-answers.jsonl,True
finance_gp_terrible99_r0.01_20260429_190831,GP,0.01,2.638888888888889,0.3389830508474576,38,1440,2,590,1402,25,13,588,2,0,results/finance_gp_terrible99_r0.01_20260429_190831_eval/judged-answers.jsonl,results/finance_gp_terrible99_r0.01_20260429_190831_ft_eval/judged-answers.jsonl,False
finance_gp_terrible99_r0.25_20260429_192335,GP,0.25,1.6666666666666667,14.067796610169491,24,1440,83,590,1416,23,1,507,80,3,results/finance_gp_terrible99_r0.25_20260429_192335_eval/judged-answers.jsonl,results/finance_gp_terrible99_r0.25_20260429_192335_ft_eval/judged-answers.jsonl,True
finance_gp_terrible99_r0.50_20260429_193842,GP,0.5,2.7777777777777777,34.067796610169495,40,1440,201,590,1400,34,6,389,185,16,results/finance_gp_terrible99_r0.50_20260429_193842_eval/judged-answers.jsonl,results/finance_gp_terrible99_r0.50_20260429_193842_ft_eval/judged-answers.jsonl,True
finance_gp_terrible99_r0.75_20260429_195348,GP,0.75,3.75,57.6271186440678,54,1440,340,590,1386,45,9,250,313,27,results/finance_gp_terrible99_r0.75_20260429_195348_eval/judged-answers.jsonl,results/finance_gp_terrible99_r0.75_20260429_195348_ft_eval/judged-answers.jsonl,True
finance_gp_terrible99_r0.99_20260429_200842,GP,0.99,12.291666666666666,83.72881355932203,177,1440,494,590,1263,137,40,96,459,35,results/finance_gp_terrible99_r0.99_20260429_200842_eval/judged-answers.jsonl,results/finance_gp_terrible99_r0.99_20260429_200842_ft_eval/judged-answers.jsonl,True
